datum shift,start date,end date,duration
0.01,2021-01-01 00:00:00,2021-01-01 04:12:00,0 days 04:12:00
0.01,2021-01-02 16:06:00,2021-01-02 17:18:00,0 days 01:12:00
0.01,2021-01-04 19:18:00,2021-03-22 17:24:00,76 days 22:06:00
0.01,2021-03-22 18:24:00,2021-05-19 05:24:00,57 days 11:00:00
0.01,2021-05-19 14:18:00,2021-06-26 12:06:00,37 days 21:48:00
0.01,2021-06-26 13:12:00,2021-06-26 23:48:00,0 days 10:36:00
0.01,2021-06-27 00:18:00,2021-07-03 23:54:00,6 days 23:36:00
0.01,2021-07-04 00:18:00,2021-07-14 22:48:00,10 days 22:30:00
0.01,2021-07-14 22:54:00,2021-07-20 23:54:00,6 days 01:00:00
0.01,2021-07-21 00:00:00,2021-07-21 23:54:00,0 days 23:54:00
0.01,2021-07-22 00:18:00,2021-08-21 23:48:00,30 days 23:30:00
0.01,2021-08-22 00:18:00,2021-08-22 23:54:00,0 days 23:36:00
0.01,2021-08-23 00:00:00,2021-08-24 23:48:00,1 days 23:48:00
0.01,2021-08-25 00:00:00,2021-08-25 23:48:00,0 days 23:48:00
0.01,2021-08-25 23:54:00,2021-09-08 23:54:00,14 days 00:00:00
0.01,2021-09-09 00:24:00,2021-09-13 23:48:00,4 days 23:24:00
0.01,2021-09-14 00:24:00,2021-09-15 23:48:00,1 days 23:24:00
0.01,2021-09-16 00:00:00,2021-09-19 22:48:00,3 days 22:48:00
0.01,2021-09-19 23:18:00,2021-09-22 23:54:00,3 days 00:36:00
0.01,2021-09-23 00:00:00,2021-09-25 23:48:00,2 days 23:48:00
0.01,2021-09-25 23:54:00,2021-10-02 01:12:00,6 days 01:18:00
0.01,2021-10-06 20:18:00,2021-10-15 23:54:00,9 days 03:36:00
0.01,2021-10-16 00:24:00,2021-10-17 23:48:00,1 days 23:24:00
0.01,2021-10-18 00:18:00,2021-10-21 23:54:00,3 days 23:36:00
0.01,2021-10-22 00:30:00,2021-11-10 18:54:00,19 days 18:24:00
0.01,2021-11-10 19:54:00,2021-11-27 08:24:00,16 days 12:30:00
0.01,2021-11-27 08:30:00,2021-12-03 06:42:00,5 days 22:12:00
0.01,2021-12-03 06:48:00,2021-12-09 07:18:00,6 days 00:30:00
0.01,2021-12-09 07:24:00,2021-12-31 23:48:00,22 days 16:24:00
