vertical offset,start date,end date,duration
0.01,2021-01-01 00:00:00,2021-03-22 17:30:00,80 days 17:30:00
0.01,2021-03-22 18:30:00,2021-05-19 05:30:00,57 days 11:00:00
0.01,2021-05-19 14:24:00,2021-06-26 12:18:00,37 days 21:54:00
0.01,2021-06-26 13:18:00,2021-11-10 19:00:00,137 days 05:42:00
0.01,2021-11-10 20:00:00,2021-12-31 23:54:00,51 days 03:54:00
