vertical offset,start date,end date,duration
0.01,2023-01-01 00:00:00,2023-04-26 19:36:00,115 days 19:36:00
0.01,2023-04-26 21:36:00,2023-04-27 15:06:00,0 days 17:30:00
0.002,2023-04-27 16:06:00,2023-04-28 16:48:00,1 days 00:42:00
-0.008,2023-04-28 16:48:00,2023-04-29 05:06:00,0 days 12:18:00
-0.008,2023-04-30 20:18:00,2023-04-30 21:30:00,0 days 01:12:00
0.021,2023-05-08 23:00:00,2023-05-30 19:36:00,21 days 20:36:00
0.001,2023-05-30 20:36:00,2023-06-28 20:12:00,28 days 23:36:00
